name,osm_id,county,distance_miles,highway_type,surface,difficulty,ref,num_coordinates
Log Heaven,1151050416,Unknown,0.219,track,unknown,unknown,,18
Locust Gap Connector,1160894022,Unknown,0.219,track,ground,unknown,,28
Trail 1189856920,1189856920,Unknown,0.219,footway,ground,unknown,,10
Trail 1189856916,1189856916,Unknown,0.218,footway,ground,unknown,,28
Trail 1310964489,1310964489,Unknown,0.218,track,unknown,grade3,,21
Trail 1413076239,1413076239,Unknown,0.218,footway,concrete,unknown,,41
Orange Spur Trail off the Blue Trail,896594226,Unknown,0.217,path,unknown,unknown,,16
Trail 1110469142,1110469142,Unknown,0.217,track,unknown,unknown,,19
Trail 1318796724,1318796724,Unknown,0.217,track,unknown,unknown,,18
Trail 16597013,16597013,Henderson,0.216,track,unknown,unknown,,15
Trail 757861747,757861747,Unknown,0.216,track,unknown,grade4,,27
Trail 965081725,965081725,Unknown,0.216,footway,asphalt,unknown,,26
Trail 1089108095,1089108095,Unknown,0.216,footway,unknown,unknown,,50
Trail 736348108,736348108,Unknown,0.215,track,unknown,grade4,FS 96E,24
Trail 892777932,892777932,Unknown,0.215,footway,concrete,unknown,,46
Squibb Creek Trail,989734609,Unknown,0.215,path,ground,unknown,TR 23,15
Trail 1113190030,1113190030,Unknown,0.215,footway,concrete,unknown,,32
Trail 1301835816,1301835816,Unknown,0.215,footway,concrete,unknown,,13
Trail 16426000,16426000,Buncombe,0.214,track,unknown,unknown,,10
Trail 279413668,279413668,Unknown,0.214,path,ground,unknown,,15
Llewellin Lane,693705127,Unknown,0.214,track,unknown,grade2,,52
Trail 722093906,722093906,Unknown,0.214,footway,concrete,unknown,,33
Trail 803778850,803778850,Unknown,0.214,path,asphalt,unknown,,42
Cemetery Road,992931271,Unknown,0.214,track,unknown,grade1,FS 93C,19
Trail 1051407344,1051407344,Unknown,0.214,footway,concrete:plates,unknown,,26
Trail 1126394737,1126394737,Unknown,0.214,footway,unknown,unknown,,32
Merrie Way,352914262,Haywood,0.213,track,unknown,unknown,,16
Trail 895340277,895340277,Unknown,0.213,path,unknown,unknown,,39
Trail 905849523,905849523,Unknown,0.213,track,unknown,unknown,,23
