name,osm_id,county,distance_miles,highway_type,surface,difficulty,ref,num_coordinates
Crayton Trail,685481780,Unknown,0.004,footway,unknown,unknown,,2
Trail 686969931,686969931,Unknown,0.004,footway,unknown,unknown,,2
Trail 688795597,688795597,Unknown,0.004,footway,concrete,unknown,,3
Trail 688795615,688795615,Unknown,0.004,footway,unknown,unknown,,2
Trail 688795623,688795623,Unknown,0.004,footway,unknown,unknown,,2
Trail 688795665,688795665,Unknown,0.004,footway,unknown,unknown,,2
Rock Ledge Road,694694342,Unknown,0.004,track,unknown,grade2,,2
Trail 720664650,720664650,Unknown,0.004,footway,concrete,unknown,,4
Trail 720713626,720713626,Unknown,0.004,footway,wood,unknown,,2
Trail 721050902,721050902,Unknown,0.004,footway,wood,unknown,,2
Trail 728098255,728098255,Unknown,0.004,footway,unknown,unknown,,2
Trail 728126463,728126463,Unknown,0.004,footway,asphalt,unknown,,2
Trail 728126469,728126469,Unknown,0.004,footway,unknown,unknown,,2
Trail 728881629,728881629,Unknown,0.004,footway,unknown,unknown,,2
Trail 728881645,728881645,Unknown,0.004,footway,unknown,unknown,,2
Trail 728881647,728881647,Unknown,0.004,footway,unknown,unknown,,2
Trail 728881648,728881648,Unknown,0.004,footway,unknown,unknown,,2
Trail 728881651,728881651,Unknown,0.004,footway,unknown,unknown,,2
Trail 728881657,728881657,Unknown,0.004,footway,unknown,unknown,,2
Trail 728881658,728881658,Unknown,0.004,footway,unknown,unknown,,2
Trail 728881691,728881691,Unknown,0.004,footway,unknown,unknown,,2
Trail 729208038,729208038,Unknown,0.004,footway,unknown,unknown,,2
Betty Place Trail,735359009,Unknown,0.004,path,unknown,unknown,TR 298,2
Trail 740400052,740400052,Unknown,0.004,path,unknown,unknown,,2
Trail 744931492,744931492,Unknown,0.004,footway,unknown,unknown,,2
Trail 744973212,744973212,Unknown,0.004,footway,unknown,unknown,,5
Trail 745051282,745051282,Unknown,0.004,footway,concrete,unknown,,2
Trail 745063301,745063301,Unknown,0.004,footway,concrete,unknown,,2
Trail 754388393,754388393,Unknown,0.004,footway,unknown,unknown,,3
Trail 756259550,756259550,Unknown,0.004,footway,unknown,unknown,,2
John Rock Trail,762747709,Unknown,0.004,path,ground,unknown,365,2
Trail 765528346,765528346,Unknown,0.004,footway,concrete,unknown,,3
Trail 770949773,770949773,Unknown,0.004,footway,unknown,unknown,,2
Trail 795987711,795987711,Unknown,0.004,path,gravel,unknown,,2
Trail 795987795,795987795,Unknown,0.004,path,concrete,unknown,,4
Trail 795987797,795987797,Unknown,0.004,path,concrete,unknown,,4
Trail 795987801,795987801,Unknown,0.004,path,wood,unknown,,2
Trail 795987803,795987803,Unknown,0.004,path,concrete,unknown,,2
Trail 798167719,798167719,Unknown,0.004,footway,unknown,unknown,,2
Trail 798179384,798179384,Unknown,0.004,footway,unknown,unknown,,4
Trail 798179395,798179395,Unknown,0.004,footway,concrete,unknown,,2
Trail 803795322,803795322,Unknown,0.004,footway,unknown,unknown,,3
Trail 803799649,803799649,Unknown,0.004,footway,unknown,unknown,,2
Trail 812906567,812906567,Unknown,0.004,footway,unknown,unknown,,2
Ashton's Trail,815724465,Unknown,0.004,path,wood,unknown,,2
Buckhorn Gap,816523706,Unknown,0.004,path,ground,unknown,103,2
Twin Falls Trail,816523709,Unknown,0.004,path,dirt,mountain_hiking,,2
Trail 827501086,827501086,Unknown,0.004,footway,unknown,unknown,,3
Trail 827504568,827504568,Unknown,0.004,footway,concrete,unknown,,2
Trail 827504571,827504571,Unknown,0.004,footway,unknown,unknown,,3
Trail 827504576,827504576,Unknown,0.004,footway,unknown,unknown,,3
Trail 827507428,827507428,Unknown,0.004,footway,unknown,unknown,,3
Trail 827509128,827509128,Unknown,0.004,footway,unknown,unknown,,3
Trail 827509135,827509135,Unknown,0.004,footway,unknown,unknown,,3
Trail 830182883,830182883,Unknown,0.004,cycleway,unknown,unknown,,2
Trail 830182920,830182920,Unknown,0.004,footway,unknown,unknown,,3
Trail 831335013,831335013,Unknown,0.004,footway,concrete,unknown,,2
Trail 831355928,831355928,Unknown,0.004,footway,asphalt,unknown,,3
Trail 831355939,831355939,Unknown,0.004,footway,asphalt,unknown,,2
Trail 831355953,831355953,Unknown,0.004,footway,asphalt,unknown,,2
Trail 831922191,831922191,Unknown,0.004,footway,bricks,unknown,,3
Trail 831944725,831944725,Unknown,0.004,footway,concrete,unknown,,2
Trail 831965929,831965929,Unknown,0.004,footway,concrete,unknown,,3
Trail 831965933,831965933,Unknown,0.004,footway,concrete,unknown,,2
Trail 831976268,831976268,Unknown,0.004,footway,concrete,unknown,,3
Trail 832256020,832256020,Unknown,0.004,footway,asphalt,unknown,,3
Trail 832321932,832321932,Unknown,0.004,footway,concrete,unknown,,3
Trail 832321934,832321934,Unknown,0.004,footway,concrete,unknown,,3
Trail 832321940,832321940,Unknown,0.004,footway,concrete,unknown,,3
Trail 836409496,836409496,Unknown,0.004,footway,unknown,unknown,,2
Trail 836611363,836611363,Unknown,0.004,footway,unknown,unknown,,2
Trail 836611367,836611367,Unknown,0.004,footway,unknown,unknown,,2
Yellow Gap Road,840282102,Transylvania,0.004,track,gravel,grade1,NFD 1206,2
Trail 863195568,863195568,Unknown,0.004,footway,concrete,unknown,,2
Trail 867135855,867135855,Unknown,0.004,footway,concrete,unknown,,2
Trail 892777980,892777980,Unknown,0.004,footway,concrete,unknown,,2
Trail 893131458,893131458,Unknown,0.004,footway,concrete,unknown,,2
Trail 893131459,893131459,Unknown,0.004,footway,concrete,unknown,,2
Trail 893131460,893131460,Unknown,0.004,footway,concrete,unknown,,2
Trail 893138628,893138628,Unknown,0.004,footway,asphalt,unknown,,3
Trail 893138631,893138631,Unknown,0.004,footway,asphalt,unknown,,3
Trail 893142126,893142126,Unknown,0.004,footway,asphalt,unknown,,3
Appalachian Trail,893791078,Unknown,0.004,path,unknown,unknown,TR 1-08,2
Trail 894729288,894729288,Unknown,0.004,footway,gravel,unknown,,2
Trail 894729307,894729307,Unknown,0.004,footway,concrete,unknown,,2
Trail 894981521,894981521,Unknown,0.004,footway,concrete,unknown,,3
Trail 894981542,894981542,Unknown,0.004,footway,concrete,unknown,,2
Trail 894991312,894991312,Unknown,0.004,footway,concrete,unknown,,2
Trail 897187482,897187482,Unknown,0.004,footway,concrete,unknown,,2
Trail 897187483,897187483,Unknown,0.004,footway,concrete,unknown,,3
Trail 897187488,897187488,Unknown,0.004,footway,asphalt,unknown,,3
Trail 897187494,897187494,Unknown,0.004,footway,concrete,unknown,,3
Trail 897229085,897229085,Unknown,0.004,footway,concrete,unknown,,3
Trail 897229089,897229089,Unknown,0.004,footway,concrete,unknown,,3
Trail 897229092,897229092,Unknown,0.004,footway,asphalt,unknown,,3
Trail 897231325,897231325,Unknown,0.004,footway,asphalt,unknown,,2
Trail 897243216,897243216,Unknown,0.004,footway,concrete,unknown,,3
Trail 897252344,897252344,Unknown,0.004,footway,asphalt,unknown,,3
Trail 897252346,897252346,Unknown,0.004,footway,asphalt,unknown,,3
Trail 897252351,897252351,Unknown,0.004,footway,concrete,unknown,,2
Trail 897289657,897289657,Unknown,0.004,footway,concrete,unknown,,3
Log Hollow Road,903828155,Unknown,0.004,track,unpaved,grade3,FS 5045,2
Headwater Road,903836403,Unknown,0.004,track,gravel,grade2,FS 475B,2
Trail 912172082,912172082,Unknown,0.004,footway,unknown,unknown,,2
Moore Cove Trail,912440870,Unknown,0.004,path,wood,unknown,318,2
Moore Cove Trail,912440873,Unknown,0.004,path,wood,unknown,318,2
Trail 931404620,931404620,Unknown,0.004,footway,unknown,unknown,,2
Trail 931404634,931404634,Unknown,0.004,footway,unknown,unknown,,2
Trail 945136720,945136720,Unknown,0.004,path,grass,hiking,,2
Campground Trail,945136746,Unknown,0.004,path,asphalt,mountain_hiking,,2
Trail 945136762,945136762,Unknown,0.004,track,ground,unknown,,3
Trail 958322563,958322563,Unknown,0.004,footway,unknown,unknown,,2
Trail 958435674,958435674,Unknown,0.004,footway,unknown,unknown,,2
Bearwallow Valley Trail,966760853,Unknown,0.004,footway,asphalt,mountain_hiking,,3
Fighting Creek Nature Trail,970240655,Unknown,0.004,path,wood,unknown,,2
Trail 972883196,972883196,Unknown,0.004,path,unknown,unknown,,2
Trail 975544883,975544883,Unknown,0.004,footway,unknown,unknown,,2
Trail 975544888,975544888,Unknown,0.004,footway,unknown,unknown,,3
Deep Creek Trail,978558749,Unknown,0.004,path,unknown,unknown,,2
Trail 979430649,979430649,Unknown,0.004,footway,concrete,unknown,,3
Trail 985496079,985496079,Unknown,0.004,footway,unknown,unknown,,2
Weavers Bend Road,991330208,Cocke,0.004,track,unknown,grade2,,2
Trail 992948088,992948088,Unknown,0.004,footway,unknown,unknown,,3
Trail 992948090,992948090,Unknown,0.004,footway,unknown,unknown,,3
Oklawaha Greenway,992949335,Unknown,0.004,path,asphalt,unknown,,3
Trail 992949351,992949351,Unknown,0.004,path,unknown,unknown,,2
Trail 1015683107,1015683107,Unknown,0.004,footway,unknown,unknown,,3
Trail 1026585081,1026585081,Unknown,0.004,path,unknown,unknown,,2
Trail 1028739833,1028739833,Unknown,0.004,path,unknown,unknown,,2
Trail 1032934646,1032934646,Unknown,0.004,footway,concrete,unknown,,2
Trail 1050419523,1050419523,Unknown,0.004,footway,unknown,unknown,,2
Trail 1066489495,1066489495,Unknown,0.004,footway,unknown,unknown,,2
Trail 1068841346,1068841346,Unknown,0.004,path,unknown,unknown,,2
Trail 1069958135,1069958135,Unknown,0.004,footway,unknown,unknown,,3
Porters Creek Trail,1072666700,Unknown,0.004,path,ground,unknown,,2
Trail 1074826648,1074826648,Unknown,0.004,footway,asphalt,unknown,,3
Trail 1074826651,1074826651,Unknown,0.004,footway,asphalt,unknown,,3
Trail 1080183996,1080183996,Unknown,0.004,footway,unknown,unknown,,2
Trail 1081221910,1081221910,Unknown,0.004,footway,unknown,unknown,,2
Trail 1091117850,1091117850,Unknown,0.004,footway,ground,unknown,,2
Trail 1092172486,1092172486,Unknown,0.004,path,unknown,unknown,,2
Trail 1103575351,1103575351,Unknown,0.004,footway,unknown,unknown,,4
Trail 1103663001,1103663001,Unknown,0.004,footway,concrete,unknown,,3
Trail 1103666349,1103666349,Unknown,0.004,footway,unknown,unknown,,2
Trail 1103666350,1103666350,Unknown,0.004,footway,unknown,unknown,,2
Trail 1108812634,1108812634,Unknown,0.004,footway,unknown,unknown,,2
Trail 1112531961,1112531961,Unknown,0.004,footway,asphalt,unknown,,2
Trail 1130851480,1130851480,Unknown,0.004,path,unknown,unknown,,2
Trail 1131224788,1131224788,Unknown,0.004,footway,wood,unknown,,3
Trail 1135260978,1135260978,Unknown,0.004,footway,unknown,unknown,,3
Trail 1149931136,1149931136,Unknown,0.004,footway,concrete,unknown,,2
Trail 1149931138,1149931138,Unknown,0.004,footway,concrete,unknown,,2
Trail 1150011312,1150011312,Unknown,0.004,footway,asphalt,unknown,,2
Trail 1173091139,1173091139,Unknown,0.004,footway,unknown,unknown,,3
Trail 1181389998,1181389998,Unknown,0.004,footway,unknown,unknown,,3
Trail 1181390025,1181390025,Unknown,0.004,footway,unknown,unknown,,3
Trail 1183710654,1183710654,Unknown,0.004,footway,concrete,unknown,,3
Footbridge,1185062686,Unknown,0.004,path,ground,unknown,,2
Trail 1192135778,1192135778,Unknown,0.004,footway,unknown,unknown,,3
Trail 1192135782,1192135782,Unknown,0.004,footway,unknown,unknown,,2
Trail 1192135800,1192135800,Unknown,0.004,footway,unknown,unknown,,3
Trail 1192135802,1192135802,Unknown,0.004,footway,unknown,unknown,,3
Trail 1192135856,1192135856,Unknown,0.004,footway,unknown,unknown,,3
Trail 1192135858,1192135858,Unknown,0.004,footway,unknown,unknown,,2
Trail 1192135865,1192135865,Unknown,0.004,footway,unknown,unknown,,3
Trail 1200929979,1200929979,Unknown,0.004,footway,asphalt,unknown,,3
Trail 1200929980,1200929980,Unknown,0.004,footway,unknown,unknown,,3
Trail 1200929986,1200929986,Unknown,0.004,footway,unknown,unknown,,3
Trail 1200929987,1200929987,Unknown,0.004,footway,unknown,unknown,,3
Trail 1200929988,1200929988,Unknown,0.004,footway,unknown,unknown,,3
Trail 1200929995,1200929995,Unknown,0.004,footway,unknown,unknown,,3
Trail 1200929996,1200929996,Unknown,0.004,footway,unknown,unknown,,3
Trail 1217874800,1217874800,Unknown,0.004,footway,unknown,unknown,,2
Trail 1217874809,1217874809,Unknown,0.004,footway,unknown,unknown,,2
Trail 1217874816,1217874816,Unknown,0.004,footway,unknown,unknown,,3
Trail 1234597611,1234597611,Unknown,0.004,footway,unknown,unknown,,3
Trail 1234597613,1234597613,Unknown,0.004,footway,unknown,unknown,,3
Trail 1234623859,1234623859,Unknown,0.004,path,unknown,unknown,,2
Trail 1236900889,1236900889,Unknown,0.004,footway,unknown,unknown,,3
Trail 1238122136,1238122136,Unknown,0.004,footway,unknown,unknown,,2
Trail 1239932608,1239932608,Unknown,0.004,footway,concrete,unknown,,2
Trail 1239932637,1239932637,Unknown,0.004,footway,concrete,unknown,,2
Trail 1240031968,1240031968,Unknown,0.004,footway,concrete,unknown,,2
Trail 1240628314,1240628314,Unknown,0.004,footway,asphalt,unknown,,2
Trail 1249358970,1249358970,Buncombe,0.004,footway,asphalt,unknown,,3
Trail 1254092897,1254092897,Unknown,0.004,footway,unknown,unknown,,2
Trail 1259505597,1259505597,Unknown,0.004,footway,asphalt,unknown,,2
Trail 1260623063,1260623063,Unknown,0.004,footway,gravel,unknown,,5
Trail 1260639732,1260639732,Unknown,0.004,footway,unknown,unknown,,2
Trail 1272066844,1272066844,Unknown,0.004,footway,unknown,unknown,,3
Trail 1279518151,1279518151,Unknown,0.004,footway,unknown,unknown,,2
Trail 1282635881,1282635881,Unknown,0.004,footway,unknown,unknown,,2
Wildcat Rock Trail,1284518121,Unknown,0.004,path,unknown,unknown,,2
Trail 1285721926,1285721926,Unknown,0.004,cycleway,asphalt,unknown,,2
Trail 1285759206,1285759206,Unknown,0.004,footway,unknown,unknown,,2
Trail 1285763830,1285763830,Unknown,0.004,footway,unknown,unknown,,2
Trail 1285763831,1285763831,Unknown,0.004,footway,unknown,unknown,,3
Trail 1286588637,1286588637,Unknown,0.004,footway,concrete,unknown,,3
Trail 1286692232,1286692232,Unknown,0.004,footway,concrete,unknown,,3
Trail 1286706237,1286706237,Unknown,0.004,footway,concrete,unknown,,5
Trail 1286709841,1286709841,Unknown,0.004,footway,asphalt,unknown,,3
Trail 1287420098,1287420098,Unknown,0.004,footway,concrete,unknown,,5
Trail 1287420110,1287420110,Unknown,0.004,footway,concrete,unknown,,2
Trail 1289419550,1289419550,Unknown,0.004,path,asphalt,unknown,,2
Trail 1290776388,1290776388,Unknown,0.004,footway,unknown,unknown,,2
Trail 1290776394,1290776394,Unknown,0.004,footway,unknown,unknown,,2
Trail 1296415181,1296415181,Unknown,0.004,footway,concrete,unknown,,2
Trail 1296418327,1296418327,Unknown,0.004,footway,concrete,unknown,,3
Trail 1296418331,1296418331,Unknown,0.004,footway,concrete,unknown,,2
Trail 1296418337,1296418337,Unknown,0.004,footway,concrete,unknown,,2
Trail 1296418339,1296418339,Unknown,0.004,footway,concrete,unknown,,2
Trail 1296430102,1296430102,Unknown,0.004,footway,asphalt,unknown,,3
Trail 1296430907,1296430907,Unknown,0.004,footway,concrete,unknown,,2
Trail 1296440387,1296440387,Unknown,0.004,footway,concrete,unknown,,2
Trail 1296440395,1296440395,Unknown,0.004,footway,concrete,unknown,,2
Trail 1297138954,1297138954,Unknown,0.004,footway,asphalt,unknown,,2
Trail 1297147186,1297147186,Unknown,0.004,footway,concrete,unknown,,2
Trail 1297147187,1297147187,Unknown,0.004,footway,unknown,unknown,,3
Trail 1297147189,1297147189,Unknown,0.004,footway,concrete,unknown,,2
Trail 1297147195,1297147195,Unknown,0.004,footway,concrete,unknown,,2
Trail 1297147197,1297147197,Unknown,0.004,footway,asphalt,unknown,,3
Trail 1297147204,1297147204,Unknown,0.004,footway,concrete,unknown,,2
Trail 1297147217,1297147217,Unknown,0.004,footway,asphalt,unknown,,3
Trail 1297147218,1297147218,Unknown,0.004,footway,concrete,unknown,,2
Trail 1297147219,1297147219,Unknown,0.004,footway,asphalt,unknown,,3
Trail 1297152920,1297152920,Unknown,0.004,footway,concrete,unknown,,3
Trail 1297152923,1297152923,Unknown,0.004,footway,brick,unknown,,2
Trail 1297152924,1297152924,Unknown,0.004,footway,concrete,unknown,,3
Trail 1297152930,1297152930,Unknown,0.004,footway,concrete,unknown,,3
Trail 1297152934,1297152934,Unknown,0.004,footway,brick,unknown,,2
Trail 1298827434,1298827434,Unknown,0.004,footway,concrete,unknown,,3
Trail 1298827435,1298827435,Unknown,0.004,footway,concrete,unknown,,2
Trail 1298854934,1298854934,Unknown,0.004,footway,concrete,unknown,,3
Trail 1298854939,1298854939,Unknown,0.004,footway,unknown,unknown,,2
Trail 1298854948,1298854948,Unknown,0.004,footway,concrete,unknown,,3
Trail 1298854951,1298854951,Unknown,0.004,footway,asphalt,unknown,,3
Trail 1298854962,1298854962,Unknown,0.004,footway,unknown,unknown,,3
Trail 1298854964,1298854964,Unknown,0.004,footway,asphalt,unknown,,3
Trail 1298864354,1298864354,Unknown,0.004,footway,concrete,unknown,,3
Trail 1298881950,1298881950,Unknown,0.004,footway,concrete,unknown,,3
Trail 1298881954,1298881954,Unknown,0.004,footway,concrete,unknown,,2
Trail 1298881956,1298881956,Unknown,0.004,footway,concrete,unknown,,3
Trail 1298881964,1298881964,Unknown,0.004,footway,concrete,unknown,,3
Trail 1298885647,1298885647,Unknown,0.004,footway,concrete,unknown,,3
Trail 1299415212,1299415212,Unknown,0.004,footway,concrete,unknown,,2
Trail 1299418432,1299418432,Unknown,0.004,footway,concrete,unknown,,2
Trail 1299418433,1299418433,Unknown,0.004,footway,asphalt,unknown,,3
Trail 1299418434,1299418434,Unknown,0.004,footway,concrete,unknown,,2
Trail 1299418436,1299418436,Unknown,0.004,footway,concrete,unknown,,2
Trail 1299418437,1299418437,Unknown,0.004,footway,asphalt,unknown,,3
Trail 1299418438,1299418438,Unknown,0.004,footway,concrete,unknown,,2
Trail 1299418444,1299418444,Unknown,0.004,footway,concrete,unknown,,2
Trail 1299428595,1299428595,Unknown,0.004,footway,concrete,unknown,,4
Trail 1299428605,1299428605,Unknown,0.004,footway,concrete,unknown,,4
Trail 1299457093,1299457093,Unknown,0.004,footway,unknown,unknown,,2
Trail 1299457099,1299457099,Unknown,0.004,footway,unknown,unknown,,3
Trail 1299457107,1299457107,Unknown,0.004,footway,unknown,unknown,,3
Trail 1299457112,1299457112,Unknown,0.004,footway,unknown,unknown,,3
Trail 1299457116,1299457116,Unknown,0.004,footway,unknown,unknown,,3
Trail 1299457120,1299457120,Unknown,0.004,footway,unknown,unknown,,3
Trail 1299457132,1299457132,Unknown,0.004,footway,unknown,unknown,,3
Trail 1299457142,1299457142,Unknown,0.004,footway,unknown,unknown,,2
Trail 1299457148,1299457148,Unknown,0.004,footway,unknown,unknown,,3
Trail 1299457172,1299457172,Unknown,0.004,footway,unknown,unknown,,2
Trail 1299457304,1299457304,Unknown,0.004,footway,unknown,unknown,,3
Trail 1299457308,1299457308,Unknown,0.004,footway,unknown,unknown,,3
Trail 1299457328,1299457328,Unknown,0.004,footway,unknown,unknown,,3
Trail 1301800394,1301800394,Unknown,0.004,footway,concrete,unknown,,2
Trail 1301800417,1301800417,Unknown,0.004,footway,concrete,unknown,,2
Trail 1301800438,1301800438,Unknown,0.004,footway,concrete,unknown,,2
Trail 1301835829,1301835829,Unknown,0.004,footway,concrete,unknown,,3
Trail 1302004758,1302004758,Unknown,0.004,footway,brick,unknown,,6
Trail 1302004760,1302004760,Unknown,0.004,footway,brick,unknown,,3
French Broad River Greenway East,1302004766,Unknown,0.004,footway,concrete,unknown,,3
Trail 1302091904,1302091904,Unknown,0.004,footway,unknown,unknown,,3
Trail 1302106021,1302106021,Unknown,0.004,footway,asphalt,unknown,,2
Trail 1302137619,1302137619,Unknown,0.004,footway,unknown,unknown,,3
Trail 1303291295,1303291295,Unknown,0.004,footway,unknown,unknown,,2
Trail 1303341889,1303341889,Unknown,0.004,footway,unknown,unknown,,3
Trail 1303795821,1303795821,Unknown,0.004,footway,unknown,unknown,,2
Trail 1304089781,1304089781,Unknown,0.004,footway,unknown,unknown,,2
Trail 1305481458,1305481458,Unknown,0.004,footway,concrete,unknown,,2
Trail 1305484959,1305484959,Unknown,0.004,footway,concrete,unknown,,2
Trail 1305774862,1305774862,Unknown,0.004,footway,unknown,unknown,,2
Trail 1305778925,1305778925,Unknown,0.004,footway,unknown,unknown,,3
Trail 1305778926,1305778926,Unknown,0.004,footway,concrete,unknown,,2
Trail 1305784356,1305784356,Unknown,0.004,footway,asphalt,unknown,,3
Trail 1305784360,1305784360,Unknown,0.004,footway,paving_stones,unknown,,5
Trail 1305833558,1305833558,Unknown,0.004,footway,unknown,unknown,,2
Trail 1305833563,1305833563,Unknown,0.004,footway,unknown,unknown,,3
Trail 1305833564,1305833564,Unknown,0.004,footway,unknown,unknown,,2
Trail 1305833571,1305833571,Unknown,0.004,footway,unknown,unknown,,2
Trail 1305833587,1305833587,Unknown,0.004,footway,unknown,unknown,,2
Trail 1305833594,1305833594,Unknown,0.004,footway,unknown,unknown,,2
Trail 1305835105,1305835105,Unknown,0.004,footway,unknown,unknown,,2
Trail 1305835107,1305835107,Unknown,0.004,footway,unknown,unknown,,3
Trail 1305835119,1305835119,Unknown,0.004,footway,unknown,unknown,,2
Trail 1307267008,1307267008,Unknown,0.004,footway,asphalt,unknown,,3
Trail 1313769397,1313769397,Unknown,0.004,footway,concrete,unknown,,3
Trail 1313769407,1313769407,Unknown,0.004,footway,concrete:plates,unknown,,2
Trail 1328250752,1328250752,Unknown,0.004,footway,unknown,unknown,,2
Trail 1329922521,1329922521,Unknown,0.004,footway,unknown,unknown,,2
Trail 1338977031,1338977031,Unknown,0.004,footway,unknown,unknown,,3
Trail 1339150817,1339150817,Unknown,0.004,footway,unknown,unknown,,3
Trail 1339150819,1339150819,Unknown,0.004,footway,unknown,unknown,,3
Trail 1339755633,1339755633,Unknown,0.004,footway,unknown,unknown,,2
Trail 1347803846,1347803846,Unknown,0.004,footway,unknown,unknown,,2
Trail 1347803848,1347803848,Unknown,0.004,footway,concrete,unknown,,3
Trail 1347803849,1347803849,Unknown,0.004,footway,unknown,unknown,,2
Trail 1355439858,1355439858,Unknown,0.004,footway,grass,unknown,,2
Trail 1355443190,1355443190,Unknown,0.004,footway,unknown,unknown,,2
Trail 1360370083,1360370083,Unknown,0.004,footway,asphalt,unknown,,2
Trail 1360492330,1360492330,Unknown,0.004,footway,unknown,unknown,,2
Trail 1360492331,1360492331,Unknown,0.004,footway,unknown,unknown,,2
Trail 1360492339,1360492339,Unknown,0.004,footway,unknown,unknown,,2
Trail 1361185431,1361185431,Unknown,0.004,footway,unknown,unknown,,2
Trail 1361185435,1361185435,Unknown,0.004,footway,unknown,unknown,,2
Trail 1363354833,1363354833,Unknown,0.004,footway,asphalt,unknown,,3
Trail 1365068257,1365068257,Unknown,0.004,footway,unknown,unknown,,2
Trail 1368406929,1368406929,Unknown,0.004,footway,unknown,unknown,,2
Trail 1373912598,1373912598,Unknown,0.004,footway,unknown,unknown,,6
Trail 1375081379,1375081379,Unknown,0.004,footway,unknown,unknown,,3
Trail 1382584819,1382584819,Unknown,0.004,footway,concrete,unknown,,3
Trail 1382628019,1382628019,Unknown,0.004,cycleway,concrete,unknown,,2
Trail 1389541630,1389541630,Unknown,0.004,path,unknown,unknown,,3
Trail 1396477109,1396477109,Unknown,0.004,path,unknown,unknown,,2
Trail 1409388583,1409388583,Unknown,0.004,footway,concrete,unknown,,2
Trail 1409391379,1409391379,Unknown,0.004,footway,unknown,unknown,,3
Trail 1409391381,1409391381,Unknown,0.004,footway,concrete,unknown,,3
Trail 1409629713,1409629713,Unknown,0.004,footway,fine_gravel,unknown,,2
Trail 1409629715,1409629715,Unknown,0.004,footway,concrete,unknown,,2
Trail 1413076270,1413076270,Unknown,0.004,footway,unknown,unknown,,2
Trail 1413076283,1413076283,Unknown,0.004,footway,concrete,unknown,,4
Trail 1418196345,1418196345,Unknown,0.004,footway,unknown,unknown,,2
Trail 1420082372,1420082372,Unknown,0.004,track,unknown,unknown,,2
Trail 1420810862,1420810862,Unknown,0.004,path,unknown,unknown,,3
Trail 1423677209,1423677209,Unknown,0.004,footway,unknown,unknown,,2
Harry Bryan Trail,150615713,Unknown,0.003,path,ground,hiking,,2
Trail 239045262,239045262,Unknown,0.003,footway,unknown,unknown,,2
Trail 265960961,265960961,Unknown,0.003,footway,wood,unknown,,2
Trail 265964242,265964242,Unknown,0.003,footway,unknown,unknown,,2
Trail 266737256,266737256,Unknown,0.003,cycleway,unknown,unknown,,2
Trail 266751179,266751179,Unknown,0.003,footway,unknown,unknown,,2
Hardtimes Road,271636042,Unknown,0.003,track,unknown,hiking,FS 480,2
Trail 287550753,287550753,Unknown,0.003,footway,unknown,unknown,,2
Trail 311178829,311178829,Unknown,0.003,footway,unknown,unknown,,2
Trail 313559542,313559542,Unknown,0.003,footway,unknown,unknown,,2
Trail 319596925,319596925,Unknown,0.003,footway,unknown,unknown,,2
Trail 326004979,326004979,Unknown,0.003,footway,unknown,unknown,,2
Trail 326004983,326004983,Unknown,0.003,footway,unknown,unknown,,2
Trail 326004987,326004987,Unknown,0.003,footway,unknown,unknown,,2
Trail 326008074,326008074,Unknown,0.003,footway,unknown,unknown,,2
Trail 369023282,369023282,Unknown,0.003,footway,concrete,unknown,,2
Trail 369023305,369023305,Unknown,0.003,footway,concrete,unknown,,2
Trail 395681550,395681550,Unknown,0.003,footway,unknown,unknown,,2
Native Azalea Garden,408999359,Unknown,0.003,footway,unknown,unknown,,2
Trail 443917928,443917928,Unknown,0.003,path,unknown,unknown,,2
Trail 449484256,449484256,Unknown,0.003,footway,unknown,unknown,,2
Trail 449485819,449485819,Unknown,0.003,footway,unknown,unknown,,2
Trail 497735500,497735500,Unknown,0.003,footway,unknown,unknown,,2
Trail 519472841,519472841,Unknown,0.003,path,unknown,unknown,,2
Trail 533064369,533064369,Unknown,0.003,footway,unknown,unknown,,2
Trail 533064370,533064370,Unknown,0.003,footway,unknown,unknown,,2
Trail 582822795,582822795,Unknown,0.003,footway,paving_stones,unknown,,3
Trail 597079122,597079122,Unknown,0.003,footway,unknown,unknown,,3
Trail 597403369,597403369,Unknown,0.003,footway,brick,unknown,,2
Trail 597403374,597403374,Unknown,0.003,footway,brick,unknown,,2
Trail 601458593,601458593,Unknown,0.003,footway,unknown,unknown,,2
Mount Pisgah Trail,601775559,Unknown,0.003,footway,ground,unknown,,5
Trail 608387688,608387688,Unknown,0.003,path,unknown,unknown,,2
Trail 609092911,609092911,Unknown,0.003,footway,paved,unknown,,2
Trail 610901376,610901376,Unknown,0.003,footway,brick,unknown,,3
Trail 610904944,610904944,Unknown,0.003,footway,brick,unknown,,2
Trail 613506116,613506116,Unknown,0.003,footway,brick,unknown,,2
Chimney Tops Trail,648859820,Unknown,0.003,path,wood,unknown,,2
Trail 649800218,649800218,Unknown,0.003,footway,concrete,unknown,,2
Trail 649800234,649800234,Unknown,0.003,footway,concrete,unknown,,2
Trail 649800238,649800238,Unknown,0.003,footway,concrete,unknown,,2
Trail 649800254,649800254,Unknown,0.003,footway,concrete,unknown,,2
Trail 649800264,649800264,Unknown,0.003,footway,concrete,unknown,,2
Trail 649800276,649800276,Unknown,0.003,footway,concrete,unknown,,2
Trail 653287654,653287654,Unknown,0.003,path,wood,unknown,,2
Trail 653630409,653630409,Unknown,0.003,footway,concrete,unknown,,2
Trail 660015943,660015943,Unknown,0.003,footway,unknown,unknown,,2
